author,comment,likes,published_at,updated_at
@resepdapur9648,hahahahahahha mau ngomong ah ga jadi ah mending diem aowkaowoakwoaw jogja jogjaaaaa. jogjaa istimewaaaaa. istimewa orang nya istimewa kota nya  ibu segala ilmu di indonesia adalah JOGJA !!,0,2025-10-10T01:36:27Z,2025-10-10T01:36:27Z
@alfatihtruk3376,Setau saya institusi itu awam tentang teknologi. Bisanya cuma malak rakyat berkedok ketertiban lalu lintas.,0,2025-10-10T01:28:01Z,2025-10-10T01:28:01Z
@toktok20-25,namya juga COKLAT sukanya bikin drama😂😂 sampah,1,2025-10-10T01:13:39Z,2025-10-10T01:13:39Z
@sarmansudar,"Plot Twist = Bjorka adalah orang yang sekarang podcast di depan Om Ded, lagi memainkan peran",0,2025-10-10T01:10:59Z,2025-10-10T01:10:59Z
@CamelUnguu,"ni mnyt siapa,sotoy bener",0,2025-10-10T01:08:09Z,2025-10-10T01:08:09Z
@Rvic_019,"Sudah sesuai kemampuannya bro,, sudah dididik 8 bulan di SPN.
😂🤣😂🤣😂🤣😂🤣😂🤣😂😂😂😂😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂🤣😂 Brother In the world",0,2025-10-10T01:04:53Z,2025-10-10T01:04:53Z
@aidaceha5,sekali lagi ..polisi zoonk...kasihan intel2 yg kerja 24 jam dengan effort luar biasa.,0,2025-10-10T00:54:49Z,2025-10-10T00:54:49Z
@noob-j2d6d,😂 panjang amat komentar nya 😂,0,2025-10-10T00:54:44Z,2025-10-10T00:54:44Z
@aidaceha5,"hihi..dari awal sy sdh tdk percaya, krn bjorka adalah white hacker, sahabat kami mengusut kasus2...itu anak punk yg belajar heck, e,,nyolong",0,2025-10-10T00:53:54Z,2025-10-10T00:53:54Z
@Redmi9-yb1lf,😂😂😂 polisi odong2 indonesia,0,2025-10-10T00:51:28Z,2025-10-10T00:51:28Z
@ramires8472,"Udah ku tangkap bjorka, enggak percaya kau? Udahlah",0,2025-10-10T00:45:39Z,2025-10-10T00:45:39Z
@muhamadalfin8589,"DCO nya pemerintah mungkin dari kalang keluarga aja itu goreng banget 😂, salam Data center operation 🙏",0,2025-10-10T00:42:00Z,2025-10-10T00:42:00Z
@harry14-h3d,3 kata lucu : pulisi nangkep hacker 😂😂,0,2025-10-10T00:26:44Z,2025-10-10T00:26:44Z
@febryramones6815,"Saya jg punya temen hacker autis atau bisa di bilang semi autislah ya, dia tuh pinter bgt cara nuyul aplikasi, atau nyari btc secara gratisan atau crypto lain, saya berpikir dia itu belajar darimana gitu tp anaknya tuh baik mau berbagi ilmu, tp otak gua ajah yg GK nyampek😂😂😂😂",0,2025-10-10T00:16:12Z,2025-10-10T00:16:12Z
@hanisucipto36,Klu sampe salah tangkep berati sistem kinerja siber polisi sangat buruk . Blm valid sdh konfer ke publik .sungguh parah ini polisi,0,2025-10-10T00:09:37Z,2025-10-10T00:09:37Z
@aromatorabika,"DILIAT KEBELAKANG TERNYATA INI PEGI VERSI 2 ,POLISI ANJG",0,2025-10-10T00:02:44Z,2025-10-10T00:02:44Z
@SamsulArifin-os9rd,"Kenapa sampe sekarang blm ada yg tertangkap ?
Karna proses perekrutan SDM nya Tinggi 168 cm , lulusan SMK TIK atau S1 Komputer, bukan orang"" yg punya bidang Hacker",0,2025-10-09T23:54:23Z,2025-10-09T23:54:23Z
@PapiAlvin-bx4kf,Hahaha dikadalin....😢,0,2025-10-09T23:43:47Z,2025-10-09T23:43:47Z
@BritishFace-j2j,Sebenarnya bjorka deddy itu wkwk😂,0,2025-10-09T23:42:20Z,2025-10-09T23:42:20Z
@uripraharjo6347,"Bner yg ditangkap polisi' itu bukan byorka,orng yg pakai nm byorka.😂😂😂 polisi y ke tipu😂😂😂",0,2025-10-09T23:37:49Z,2025-10-09T23:37:49Z
@zaenalbid7099,Halo botak culun,0,2025-10-09T23:31:30Z,2025-10-09T23:31:30Z
@SantriGerbangNusantara,"Makanya ahli it itu yaa yg betul betul punya kemampuan ,...jangan asal masuk di kepolisian, Kominfo 😂😂 ajaklah swasta /perseorangan utk kerja sama ....!! Yg haboh konten pejabat ada yg bermain main disitus xx ,..😂😂😂 tunggu yaa?!",0,2025-10-09T23:30:17Z,2025-10-09T23:30:17Z
@diditsukmauluddin8503,Menit 29.22 orang lapor kebaikan dijemput polisi ... Sedih dengernya,0,2025-10-09T23:29:48Z,2025-10-09T23:30:56Z
@lenditriadi3548,"Point nya... ketika punya kemampuan, tergantung mau d gunakan buat apa? Sama hal nya punya parang buat hal yg baik atau hal yg buruk.",0,2025-10-09T23:23:00Z,2025-10-09T23:23:00Z
@akhmadsudrajatmushoffa7270,Dua kata lucu: POLISI NANGKEP😂,0,2025-10-09T23:18:36Z,2025-10-09T23:18:36Z
@adizproduction,"Setiap Pergerakan Harus Ada Biaya Operasional kan, Boss?!!😂",0,2025-10-09T23:13:28Z,2025-10-09T23:13:28Z
@adityanur73,"wkkk orang yg di atas pa ya mikir, mikirnya ya tetep GIMANA CARA NYA KORUPSI 🤣🤣🤣",0,2025-10-09T23:01:40Z,2025-10-09T23:01:40Z
@Filosofi_Sastra,Akun fufufafa aja gak bisa lacak polici😂,0,2025-10-09T22:45:43Z,2025-10-09T22:45:43Z
