comment,case_folding,cleansing,normalized_reviews,tokenizing,stopwords_removed
G PAHAM LAGI SAMA LAWAKAN POLISI DARI BULAN KE BULAN,g paham lagi sama lawakan polisi dari bulan ke bulan,g paham lagi sama lawakan polisi dari bulan ke bulan,enggak paham lagi sama lawakan polisi dari bulan ke bulan,"['enggak', 'paham', 'lagi', 'sama', 'lawakan', 'polisi', 'dari', 'bulan', 'ke', 'bulan']","['paham', 'lawakan', 'polisi']"
"====> Nangkep FUFUFAFA aja ga bisa, sok klaim nangkep Bjorka. Emang KOCAK POLISI Konoha","====> nangkep fufufafa aja ga bisa, sok klaim nangkep bjorka. emang kocak polisi konoha",nangkep fufufafa aja ga bisa sok klaim nangkep bjorka emang kocak polisi konoha,nangkep fufufafa saja enggak bisa sok klaim nangkep bjorka memang kocak polisi konoha,"['nangkep', 'fufufafa', 'saja', 'enggak', 'bisa', 'sok', 'klaim', 'nangkep', 'bjorka', 'memang', 'kocak', 'polisi', 'konoha']","['nangkep', 'fufufafa', 'sok', 'klaim', 'nangkep', 'bjorka', 'kocak', 'polisi', 'konoha']"
10:01 Disini apa ada yang se apes om saya saldo di bank BRI tiba² ada yang ngeambil.,10:01 disini apa ada yang se apes om saya saldo di bank bri tiba² ada yang ngeambil.,disini apa ada yang se apes om saya saldo di bank bri tiba ada yang ngeambil,disini apa ada yang se apes om saya saldo di bank bri tiba ada yang ngeambil,"['disini', 'apa', 'ada', 'yang', 'se', 'apes', 'om', 'saya', 'saldo', 'di', 'bank', 'bri', 'tiba', 'ada', 'yang', 'ngeambil']","['apes', 'om', 'saldo', 'bank', 'bri', 'ngeambil']"
Bjorka ngakak disini😂 bntr juga tampil  lgi tu bjorka😂,bjorka ngakak disini😂 bntr juga tampil  lgi tu bjorka😂,bjorka ngakak disini bntr juga tampil lgi tu bjorka,bjorka mengakak disini bentar juga tampil lagi itu bjorka,"['bjorka', 'mengakak', 'disini', 'bentar', 'juga', 'tampil', 'lagi', 'itu', 'bjorka']","['bjorka', 'mengakak', 'bentar', 'tampil', 'bjorka']"
Nah lohh klo tiba2 Bjorka nongol lebih agresif. Yahhh diketawain dah polisi yg nangkep. Lu salah tangkep kaleee😅 korban lagi dah salah tangkep.,nah lohh klo tiba2 bjorka nongol lebih agresif. yahhh diketawain dah polisi yg nangkep. lu salah tangkep kaleee😅 korban lagi dah salah tangkep.,nah lohh klo tiba bjorka nongol lebih agresif yahhh diketawain dah polisi yg nangkep lu salah tangkep kaleee korban lagi dah salah tangkep,nah loh kalo tiba bjorka nongol lebih agresif ya diketawain deh polisi yang nangkep lu salah tangkap kali korban lagi deh salah tangkap,"['nah', 'loh', 'kalo', 'tiba', 'bjorka', 'nongol', 'lebih', 'agresif', 'ya', 'diketawain', 'deh', 'polisi', 'yang', 'nangkep', 'lu', 'salah', 'tangkap', 'kali', 'korban', 'lagi', 'deh', 'salah', 'tangkap']","['loh', 'kalo', 'bjorka', 'nongol', 'agresif', 'ya', 'diketawain', 'deh', 'polisi', 'nangkep', 'lu', 'salah', 'tangkap', 'kali', 'korban', 'deh', 'salah', 'tangkap']"
Banyak yg dipelihara di beberapa negara termasuk uae,banyak yg dipelihara di beberapa negara termasuk uae,banyak yg dipelihara di beberapa negara termasuk uae,banyak yang dipelihara di beberapa negara termasuk uae,"['banyak', 'yang', 'dipelihara', 'di', 'beberapa', 'negara', 'termasuk', 'uae']","['dipelihara', 'negara', 'uae']"
Udah di bilang potong kepala nya klo mw Reformasi polri.,udah di bilang potong kepala nya klo mw reformasi polri.,udah di bilang potong kepala nya klo mw reformasi polri,sudah di bilang potong kepala nya kalo mau reformasi polri,"['sudah', 'di', 'bilang', 'potong', 'kepala', 'nya', 'kalo', 'mau', 'reformasi', 'polri']","['bilang', 'potong', 'kepala', 'nya', 'kalo', 'reformasi', 'polri']"
Emang suka aja bikin malu instansi nya,emang suka aja bikin malu instansi nya,emang suka aja bikin malu instansi nya,memang suka saja bikin malu instansi nya,"['memang', 'suka', 'saja', 'bikin', 'malu', 'instansi', 'nya']","['suka', 'bikin', 'malu', 'instansi', 'nya']"
"Apa yg bisa diharapkan dari ******
Ahh sudahlah wkwk","apa yg bisa diharapkan dari ******
ahh sudahlah wkwk",apa yg bisa diharapkan dari ahh sudahlah wkwk,apa yang bisa diharapkan dari ah sudahlah wkwk,"['apa', 'yang', 'bisa', 'diharapkan', 'dari', 'ah', 'sudahlah', 'wkwk']","['diharapkan', 'ah', 'wkwk']"
Cung Pengguna Whatsapp Mod😁,cung pengguna whatsapp mod😁,cung pengguna whatsapp mod,cung pengguna whatsapp mod,"['cung', 'pengguna', 'whatsapp', 'mod']","['cung', 'pengguna', 'whatsapp', 'mod']"
