comment,case_folding,cleansing,normalized_reviews,tokenizing,stopwords_removed
"Mecahin siapa fufu fafa aja gak bisa, ya kali nangkep bjorka😂","mecahin siapa fufu fafa aja gak bisa, ya kali nangkep bjorka😂",mecahin siapa fufu fafa aja gak bisa ya kali nangkep bjorka,mecahin siapa fufu fafa saja enggak bisa ya kali nangkep bjorka,"['mecahin', 'siapa', 'fufu', 'fafa', 'saja', 'enggak', 'bisa', 'ya', 'kali', 'nangkep', 'bjorka']","['mecahin', 'fufu', 'fafa', 'ya', 'kali', 'nangkep', 'bjorka']"
Jadiin film keren kayanya🤔,jadiin film keren kayanya🤔,jadiin film keren kayanya,jadikan film keren kayanya,"['jadikan', 'film', 'keren', 'kayanya']","['jadikan', 'film', 'keren', 'kayanya']"
Disuruh proses maling yang dah ditangkap masyarakat aja maless 😅,disuruh proses maling yang dah ditangkap masyarakat aja maless 😅,disuruh proses maling yang dah ditangkap masyarakat aja maless,disuruh proses maling yang deh ditangkap masyarakat saja maless,"['disuruh', 'proses', 'maling', 'yang', 'deh', 'ditangkap', 'masyarakat', 'saja', 'maless']","['disuruh', 'proses', 'maling', 'deh', 'ditangkap', 'masyarakat', 'maless']"
Menit 18 masih nyelip2in sarkas untuk polisi 😂,menit 18 masih nyelip2in sarkas untuk polisi 😂,menit masih nyelipin sarkas untuk polisi,menit masih nyelipin sarkas untuk polisi,"['menit', 'masih', 'nyelipin', 'sarkas', 'untuk', 'polisi']","['menit', 'nyelipin', 'sarkas', 'polisi']"
Gue tidak yakin itu byorka sejak kapan hacker mudah di tangkap Narasi Gaming,gue tidak yakin itu byorka sejak kapan hacker mudah di tangkap narasi gaming,gue tidak yakin itu byorka sejak kapan hacker mudah di tangkap narasi gaming,gue tidak yakin itu byorka sejak kapan hacker mudah di tangkap narasi gaming,"['gue', 'tidak', 'yakin', 'itu', 'byorka', 'sejak', 'kapan', 'hacker', 'mudah', 'di', 'tangkap', 'narasi', 'gaming']","['gue', 'byorka', 'hacker', 'mudah', 'tangkap', 'narasi', 'gaming']"
"Tidak mau menjelekkan pemerintah atau gmna, dulu sekitar thun 2018,  pas saya awal awal tertarik dengan hacking, justru website website dari pemerintah yang sangat rentan bahkan hacking dengan metode yg sangat basic seperti sql injection aja udh bisa masuk database di salah satu kampus. Bisa ubah jurusan, data pribadi dll .","tidak mau menjelekkan pemerintah atau gmna, dulu sekitar thun 2018,  pas saya awal awal tertarik dengan hacking, justru website website dari pemerintah yang sangat rentan bahkan hacking dengan metode yg sangat basic seperti sql injection aja udh bisa masuk database di salah satu kampus. bisa ubah jurusan, data pribadi dll .",tidak mau menjelekkan pemerintah atau gmna dulu sekitar thun pas saya awal awal tertarik dengan hacking justru website website dari pemerintah yang sangat rentan bahkan hacking dengan metode yg sangat basic seperti sql injection aja udh bisa masuk database di salah satu kampus bisa ubah jurusan data pribadi dll,tidak mau menjelekkan pemerintah atau bagaimana dulu sekitar tahun pas saya awal awal tertarik dengan hacking justru website website dari pemerintah yang sangat rentan bahkan hacking dengan metode yang sangat basic seperti sql injection saja sudah bisa masuk database di salah satu kampus bisa ubah jurusan data pribadi dll,"['tidak', 'mau', 'menjelekkan', 'pemerintah', 'atau', 'bagaimana', 'dulu', 'sekitar', 'tahun', 'pas', 'saya', 'awal', 'awal', 'tertarik', 'dengan', 'hacking', 'justru', 'website', 'website', 'dari', 'pemerintah', 'yang', 'sangat', 'rentan', 'bahkan', 'hacking', 'dengan', 'metode', 'yang', 'sangat', 'basic', 'seperti', 'sql', 'injection', 'saja', 'sudah', 'bisa', 'masuk', 'database', 'di', 'salah', 'satu', 'kampus', 'bisa', 'ubah', 'jurusan', 'data', 'pribadi', 'dll']","['menjelekkan', 'pemerintah', 'pas', 'tertarik', 'hacking', 'website', 'website', 'pemerintah', 'rentan', 'hacking', 'metode', 'basic', 'sql', 'injection', 'masuk', 'database', 'salah', 'kampus', 'ubah', 'jurusan', 'data', 'pribadi', 'dll']"
aseekk mas teguh lagi akhirnya,aseekk mas teguh lagi akhirnya,aseekk mas teguh lagi akhirnya,aseekk mas teguh lagi akhirnya,"['aseekk', 'mas', 'teguh', 'lagi', 'akhirnya']","['aseekk', 'mas', 'teguh']"
"Retaslah google dan dapatkan apresiasi,, kalo retas pemerintah lu di cariin polisi,, ingat semakin anda bersinar, semakin silau 😂","retaslah google dan dapatkan apresiasi,, kalo retas pemerintah lu di cariin polisi,, ingat semakin anda bersinar, semakin silau 😂",retaslah google dan dapatkan apresiasi kalo retas pemerintah lu di cariin polisi ingat semakin anda bersinar semakin silau,retaslah google dan dapatkan apresiasi kalo retas pemerintah lu di carikan polisi ingat semakin anda bersinar semakin silau,"['retaslah', 'google', 'dan', 'dapatkan', 'apresiasi', 'kalo', 'retas', 'pemerintah', 'lu', 'di', 'carikan', 'polisi', 'ingat', 'semakin', 'anda', 'bersinar', 'semakin', 'silau']","['retaslah', 'google', 'dapatkan', 'apresiasi', 'kalo', 'retas', 'pemerintah', 'lu', 'carikan', 'polisi', 'bersinar', 'silau']"
"Orang bisa saja memberi nama akunnya bjorka, kita pun bs bikin akun bjorka, konteksnya, akun yg mana membuat pidana dan membuat rusuh!!
Dan saya mengapresiasi kepolisian","orang bisa saja memberi nama akunnya bjorka, kita pun bs bikin akun bjorka, konteksnya, akun yg mana membuat pidana dan membuat rusuh!!
dan saya mengapresiasi kepolisian",orang bisa saja memberi nama akunnya bjorka kita pun bs bikin akun bjorka konteksnya akun yg mana membuat pidana dan membuat rusuh dan saya mengapresiasi kepolisian,orang bisa saja memberi nama akunnya bjorka kita pun bisa bikin akun bjorka konteksnya akun yang mana membuat pidana dan membuat rusuh dan saya mengapresiasi kepolisian,"['orang', 'bisa', 'saja', 'memberi', 'nama', 'akunnya', 'bjorka', 'kita', 'pun', 'bisa', 'bikin', 'akun', 'bjorka', 'konteksnya', 'akun', 'yang', 'mana', 'membuat', 'pidana', 'dan', 'membuat', 'rusuh', 'dan', 'saya', 'mengapresiasi', 'kepolisian']","['orang', 'nama', 'akunnya', 'bjorka', 'bikin', 'akun', 'bjorka', 'konteksnya', 'akun', 'pidana', 'rusuh', 'mengapresiasi', 'kepolisian']"
"Kata2 Favorit podcast ini  ❤❤❤
""Lagi Butuh Prestasi, udh lama kan ga da prestasi Nya""
""Kalo udh bener lah Baru Mau bantu""

MANTAPPP MAS BROOO 🙏🙏🙏👍👍👍","kata2 favorit podcast ini  ❤❤❤
""lagi butuh prestasi, udh lama kan ga da prestasi nya""
""kalo udh bener lah baru mau bantu""

mantappp mas brooo 🙏🙏🙏👍👍👍",kata favorit podcast ini lagi butuh prestasi udh lama kan ga da prestasi nya kalo udh bener lah baru mau bantu mantappp mas brooo,kata favorit podcast ini lagi butuh prestasi sudah lama kan enggak dah prestasi nya kalo sudah benar lah baru mau bantu mantap mas brooo,"['kata', 'favorit', 'podcast', 'ini', 'lagi', 'butuh', 'prestasi', 'sudah', 'lama', 'kan', 'enggak', 'dah', 'prestasi', 'nya', 'kalo', 'sudah', 'benar', 'lah', 'baru', 'mau', 'bantu', 'mantap', 'mas', 'brooo']","['favorit', 'podcast', 'butuh', 'prestasi', 'dah', 'prestasi', 'nya', 'kalo', 'bantu', 'mantap', 'mas', 'brooo']"
"polici gak sebodoh itu, itu memang strategi kepolician buat mancing bajirlah yang asli nongol ke permukaan, kadang memang salah satu cara menangkap yg asli mancing pake yg palsu intinya jangan percaya siapapun termasuk sama polici","polici gak sebodoh itu, itu memang strategi kepolician buat mancing bajirlah yang asli nongol ke permukaan, kadang memang salah satu cara menangkap yg asli mancing pake yg palsu intinya jangan percaya siapapun termasuk sama polici",polici gak sebodoh itu itu memang strategi kepolician buat mancing bajirlah yang asli nongol ke permukaan kadang memang salah satu cara menangkap yg asli mancing pake yg palsu intinya jangan percaya siapapun termasuk sama polici,polici enggak sebodoh itu itu memang strategi kepolician buat mancing bajirlah yang asli nongol ke permukaan kadang memang salah satu cara menangkap yang asli mancing pakai yang palsu intinya jangan percaya siapapun termasuk sama polici,"['polici', 'enggak', 'sebodoh', 'itu', 'itu', 'memang', 'strategi', 'kepolician', 'buat', 'mancing', 'bajirlah', 'yang', 'asli', 'nongol', 'ke', 'permukaan', 'kadang', 'memang', 'salah', 'satu', 'cara', 'menangkap', 'yang', 'asli', 'mancing', 'pakai', 'yang', 'palsu', 'intinya', 'jangan', 'percaya', 'siapapun', 'termasuk', 'sama', 'polici']","['polici', 'sebodoh', 'strategi', 'kepolician', 'mancing', 'bajirlah', 'asli', 'nongol', 'permukaan', 'kadang', 'salah', 'menangkap', 'asli', 'mancing', 'pakai', 'palsu', 'intinya', 'percaya', 'polici']"
Hahay....itulah polisi mulyon,hahay....itulah polisi mulyon,hahayitulah polisi mulyon,hahayitulah polisi mulyon,"['hahayitulah', 'polisi', 'mulyon']","['hahayitulah', 'polisi', 'mulyon']"
FUFUFAFA ketawa liat penangkapan ini. 😂😂😂,fufufafa ketawa liat penangkapan ini. 😂😂😂,fufufafa ketawa liat penangkapan ini,fufufafa ketawa lihat penangkapan ini,"['fufufafa', 'ketawa', 'lihat', 'penangkapan', 'ini']","['fufufafa', 'ketawa', 'lihat', 'penangkapan']"
Mereka sadar gasih kalo jaman udah canggih dan medianya sudah bukan TV lagi yang bisa dimonopoli rakyat udah pinter ga terpaku satu sumber,mereka sadar gasih kalo jaman udah canggih dan medianya sudah bukan tv lagi yang bisa dimonopoli rakyat udah pinter ga terpaku satu sumber,mereka sadar gasih kalo jaman udah canggih dan medianya sudah bukan tv lagi yang bisa dimonopoli rakyat udah pinter ga terpaku satu sumber,mereka sadar enggak sih kalo jaman sudah canggih dan medianya sudah bukan tv lagi yang bisa dimonopoli rakyat sudah pintar enggak terpaku satu sumber,"['mereka', 'sadar', 'enggak', 'sih', 'kalo', 'jaman', 'sudah', 'canggih', 'dan', 'medianya', 'sudah', 'bukan', 'tv', 'lagi', 'yang', 'bisa', 'dimonopoli', 'rakyat', 'sudah', 'pintar', 'enggak', 'terpaku', 'satu', 'sumber']","['sadar', 'sih', 'kalo', 'jaman', 'canggih', 'medianya', 'tv', 'dimonopoli', 'rakyat', 'pintar', 'terpaku', 'sumber']"
"Pengen bilang orang indonesia pinter"" y","pengen bilang orang indonesia pinter"" y",pengen bilang orang indonesia pinter y,pengin bilang orang indonesia pintar ya,"['pengin', 'bilang', 'orang', 'indonesia', 'pintar', 'ya']","['pengin', 'bilang', 'orang', 'indonesia', 'pintar', 'ya']"
"Seandainya gue pemerintah.. gue sih gak bakal penjarain orang"" kaya gini, gue bakal taruh dia cyber crime kita pekerjakan keahlian nya dan fasilitasi bakatnya.. bisa buat melindungi negara kan.. 
Tinggal kita arahkan pemahaman nya ...","seandainya gue pemerintah.. gue sih gak bakal penjarain orang"" kaya gini, gue bakal taruh dia cyber crime kita pekerjakan keahlian nya dan fasilitasi bakatnya.. bisa buat melindungi negara kan.. 
tinggal kita arahkan pemahaman nya ...",seandainya gue pemerintah gue sih gak bakal penjarain orang kaya gini gue bakal taruh dia cyber crime kita pekerjakan keahlian nya dan fasilitasi bakatnya bisa buat melindungi negara kan tinggal kita arahkan pemahaman nya,seandainya gue pemerintah gue sih enggak bakal penjarain orang kayak begini gue bakal taruh dia cyber crime kita pekerjakan keahlian nya dan fasilitasi bakatnya bisa buat melindungi negara kan tinggal kita arahkan pemahaman nya,"['seandainya', 'gue', 'pemerintah', 'gue', 'sih', 'enggak', 'bakal', 'penjarain', 'orang', 'kayak', 'begini', 'gue', 'bakal', 'taruh', 'dia', 'cyber', 'crime', 'kita', 'pekerjakan', 'keahlian', 'nya', 'dan', 'fasilitasi', 'bakatnya', 'bisa', 'buat', 'melindungi', 'negara', 'kan', 'tinggal', 'kita', 'arahkan', 'pemahaman', 'nya']","['seandainya', 'gue', 'pemerintah', 'gue', 'sih', 'penjarain', 'orang', 'kayak', 'gue', 'taruh', 'cyber', 'crime', 'pekerjakan', 'keahlian', 'nya', 'fasilitasi', 'bakatnya', 'melindungi', 'negara', 'tinggal', 'arahkan', 'pemahaman', 'nya']"
"Isilop di ngakalin Bjorka... 
Apa Isilop lg ngakalin Masyarakat lewat pengalihan isu, bikin prestasi krna mau di reformasi apa lain-lain... 
??? 
😅😅😅","isilop di ngakalin bjorka... 
apa isilop lg ngakalin masyarakat lewat pengalihan isu, bikin prestasi krna mau di reformasi apa lain-lain... 
??? 
😅😅😅",isilop di ngakalin bjorka apa isilop lg ngakalin masyarakat lewat pengalihan isu bikin prestasi krna mau di reformasi apa lainlain,isilop di ngakalin bjorka apa isilop lagi ngakalin masyarakat lewat pengalihan isu bikin prestasi karena mau di reformasi apa lainlain,"['isilop', 'di', 'ngakalin', 'bjorka', 'apa', 'isilop', 'lagi', 'ngakalin', 'masyarakat', 'lewat', 'pengalihan', 'isu', 'bikin', 'prestasi', 'karena', 'mau', 'di', 'reformasi', 'apa', 'lainlain']","['isilop', 'ngakalin', 'bjorka', 'isilop', 'ngakalin', 'masyarakat', 'pengalihan', 'isu', 'bikin', 'prestasi', 'reformasi', 'lainlain']"
Subscrube,subscrube,subscrube,subscrube,['subscrube'],['subscrube']
Ini kasus penangkapan hacker sekedar kamuflase agar rakyat tidak pokus ke DPR 😂,ini kasus penangkapan hacker sekedar kamuflase agar rakyat tidak pokus ke dpr 😂,ini kasus penangkapan hacker sekedar kamuflase agar rakyat tidak pokus ke dpr,ini kasus penangkapan hacker sekedar kamuflase agar rakyat tidak pokus ke dpr,"['ini', 'kasus', 'penangkapan', 'hacker', 'sekedar', 'kamuflase', 'agar', 'rakyat', 'tidak', 'pokus', 'ke', 'dpr']","['penangkapan', 'hacker', 'sekedar', 'kamuflase', 'rakyat', 'pokus', 'dpr']"
Nyari hp ilang aja ribet.. mau nagkap hacker 😂😂,nyari hp ilang aja ribet.. mau nagkap hacker 😂😂,nyari hp ilang aja ribet mau nagkap hacker,mencari hp hilang saja ribet mau nagkap hacker,"['mencari', 'hp', 'hilang', 'saja', 'ribet', 'mau', 'nagkap', 'hacker']","['mencari', 'hp', 'hilang', 'ribet', 'nagkap', 'hacker']"
"Polisi punya malu gak sih, heran 😂","polisi punya malu gak sih, heran 😂",polisi punya malu gak sih heran,polisi punya malu enggak sih heran,"['polisi', 'punya', 'malu', 'enggak', 'sih', 'heran']","['polisi', 'malu', 'sih', 'heran']"
pada percaya emang itu dia?,pada percaya emang itu dia?,pada percaya emang itu dia,pada percaya memang itu dia,"['pada', 'percaya', 'memang', 'itu', 'dia']",['percaya']
"3 kata lucu
polisi nangkap bjorka","3 kata lucu
polisi nangkap bjorka",kata lucu polisi nangkap bjorka,kata lucu polisi nangkap bjorka,"['kata', 'lucu', 'polisi', 'nangkap', 'bjorka']","['lucu', 'polisi', 'nangkap', 'bjorka']"
Gue yakin bjorka ketawa puas liat podcast ini 😂,gue yakin bjorka ketawa puas liat podcast ini 😂,gue yakin bjorka ketawa puas liat podcast ini,gue yakin bjorka ketawa puas lihat podcast ini,"['gue', 'yakin', 'bjorka', 'ketawa', 'puas', 'lihat', 'podcast', 'ini']","['gue', 'bjorka', 'ketawa', 'puas', 'lihat', 'podcast']"
"Saran gua kalau nnton video ini jangan di skip² , daging semua coy","saran gua kalau nnton video ini jangan di skip² , daging semua coy",saran gua kalau nnton video ini jangan di skip daging semua coy,saran gua kalau menonton video ini jangan di skip daging semua coy,"['saran', 'gua', 'kalau', 'menonton', 'video', 'ini', 'jangan', 'di', 'skip', 'daging', 'semua', 'coy']","['saran', 'gua', 'menonton', 'video', 'skip', 'daging', 'coy']"
Orang kalimantan si Rizwanda kah? 😂,orang kalimantan si rizwanda kah? 😂,orang kalimantan si rizwanda kah,orang kalimantan sih rizwanda kah,"['orang', 'kalimantan', 'sih', 'rizwanda', 'kah']","['orang', 'kalimantan', 'sih', 'rizwanda', 'kah']"
Kocak ladusing nangkap di dunia nyata aja ga bisa..apalagi di dunia maya...😂,kocak ladusing nangkap di dunia nyata aja ga bisa..apalagi di dunia maya...😂,kocak ladusing nangkap di dunia nyata aja ga bisaapalagi di dunia maya,kocak ladusing nangkap di dunia nyata saja enggak bisaapalagi di dunia maya,"['kocak', 'ladusing', 'nangkap', 'di', 'dunia', 'nyata', 'saja', 'enggak', 'bisaapalagi', 'di', 'dunia', 'maya']","['kocak', 'ladusing', 'nangkap', 'dunia', 'nyata', 'bisaapalagi', 'dunia', 'maya']"
Yg gondrong ini MH yg ngomong,yg gondrong ini mh yg ngomong,yg gondrong ini mh yg ngomong,yang gondrong ini mah yang mengomong,"['yang', 'gondrong', 'ini', 'mah', 'yang', 'mengomong']","['gondrong', 'mah', 'mengomong']"
"nangkap maling ayam, aja salah tangkap, ini sekarang nangkap haeker, 😅😅😅tiba2 yg asli muncullll , asli lucuuuuu😅😅😅","nangkap maling ayam, aja salah tangkap, ini sekarang nangkap haeker, 😅😅😅tiba2 yg asli muncullll , asli lucuuuuu😅😅😅",nangkap maling ayam aja salah tangkap ini sekarang nangkap haeker tiba yg asli muncullll asli lucuuuuu,nangkap maling ayam saja salah tangkap ini sekarang nangkap haeker tiba yang asli muncullll asli lucu,"['nangkap', 'maling', 'ayam', 'saja', 'salah', 'tangkap', 'ini', 'sekarang', 'nangkap', 'haeker', 'tiba', 'yang', 'asli', 'muncullll', 'asli', 'lucu']","['nangkap', 'maling', 'ayam', 'salah', 'tangkap', 'nangkap', 'haeker', 'asli', 'muncullll', 'asli', 'lucu']"
"Pesen buat polisi negara konoha. Udah mending dianggep jelek gr"" ga ngapa ngapain daripada dianggep jelek gr"" nglakuin hal goblok. Udeh diem aje kesel gua.","pesen buat polisi negara konoha. udah mending dianggep jelek gr"" ga ngapa ngapain daripada dianggep jelek gr"" nglakuin hal goblok. udeh diem aje kesel gua.",pesen buat polisi negara konoha udah mending dianggep jelek gr ga ngapa ngapain daripada dianggep jelek gr nglakuin hal goblok udeh diem aje kesel gua,pesan buat polisi negara konoha sudah mending dianggep jelek gr enggak ngapa mengapai daripada dianggep jelek gr nglakuin hal goblok sudah diam saja kesel gua,"['pesan', 'buat', 'polisi', 'negara', 'konoha', 'sudah', 'mending', 'dianggep', 'jelek', 'gr', 'enggak', 'ngapa', 'mengapai', 'daripada', 'dianggep', 'jelek', 'gr', 'nglakuin', 'hal', 'goblok', 'sudah', 'diam', 'saja', 'kesel', 'gua']","['pesan', 'polisi', 'negara', 'konoha', 'mending', 'dianggep', 'jelek', 'gr', 'ngapa', 'mengapai', 'dianggep', 'jelek', 'gr', 'nglakuin', 'goblok', 'diam', 'kesel', 'gua']"
Atau jangan jangan Selma ini bintang tamu ini bajorka sebenar nya 😂😂😂,atau jangan jangan selma ini bintang tamu ini bajorka sebenar nya 😂😂😂,atau jangan jangan selma ini bintang tamu ini bajorka sebenar nya,atau jangan jangan selma ini bintang tamu ini bajorka sebenar nya,"['atau', 'jangan', 'jangan', 'selma', 'ini', 'bintang', 'tamu', 'ini', 'bajorka', 'sebenar', 'nya']","['selma', 'bintang', 'tamu', 'bajorka', 'sebenar', 'nya']"
Lulusan SMK mau nangkep ap,lulusan smk mau nangkep ap,lulusan smk mau nangkep ap,lulusan smk mau nangkep apa,"['lulusan', 'smk', 'mau', 'nangkep', 'apa']","['lulusan', 'smk', 'nangkep']"
Perang hacker disamain kayak perang santet 😂 lhaaa bukannya situ katanya kagak percaya santet om 😂,perang hacker disamain kayak perang santet 😂 lhaaa bukannya situ katanya kagak percaya santet om 😂,perang hacker disamain kayak perang santet lhaaa bukannya situ katanya kagak percaya santet om,perang hacker disamain kayak perang santet lhaaa bukannya situ katanya kagak percaya santet om,"['perang', 'hacker', 'disamain', 'kayak', 'perang', 'santet', 'lhaaa', 'bukannya', 'situ', 'katanya', 'kagak', 'percaya', 'santet', 'om']","['perang', 'hacker', 'disamain', 'kayak', 'perang', 'santet', 'lhaaa', 'situ', 'kagak', 'percaya', 'santet', 'om']"
Om ded. Undang yg ngaku nangkep bjorka dong,om ded. undang yg ngaku nangkep bjorka dong,om ded undang yg ngaku nangkep bjorka dong,om ded undang yang mengaku nangkep bjorka dong,"['om', 'ded', 'undang', 'yang', 'mengaku', 'nangkep', 'bjorka', 'dong']","['om', 'ded', 'undang', 'mengaku', 'nangkep', 'bjorka']"
"Sumpah,,, seneng nyimaknya,","sumpah,,, seneng nyimaknya,",sumpah seneng nyimaknya,sumpah senang nyimaknya,"['sumpah', 'senang', 'nyimaknya']","['sumpah', 'senang', 'nyimaknya']"
"Percaya masih, ahh kalo saya tidak sii!!😂😂... Seperti biasa kalo disini mah, salah satu langkah untuk menutupi kasus atau isu yg besar.. Ayo mending tebak-tebakan kasus apa yg bakalan ketutup?","percaya masih, ahh kalo saya tidak sii!!😂😂... seperti biasa kalo disini mah, salah satu langkah untuk menutupi kasus atau isu yg besar.. ayo mending tebak-tebakan kasus apa yg bakalan ketutup?",percaya masih ahh kalo saya tidak sii seperti biasa kalo disini mah salah satu langkah untuk menutupi kasus atau isu yg besar ayo mending tebaktebakan kasus apa yg bakalan ketutup,percaya masih ah kalo saya tidak sih seperti biasa kalo disini mah salah satu langkah untuk menutupi kasus atau isu yang besar ayo mending tebaktebakan kasus apa yang bakalan ketutup,"['percaya', 'masih', 'ah', 'kalo', 'saya', 'tidak', 'sih', 'seperti', 'biasa', 'kalo', 'disini', 'mah', 'salah', 'satu', 'langkah', 'untuk', 'menutupi', 'kasus', 'atau', 'isu', 'yang', 'besar', 'ayo', 'mending', 'tebaktebakan', 'kasus', 'apa', 'yang', 'bakalan', 'ketutup']","['percaya', 'ah', 'kalo', 'sih', 'kalo', 'mah', 'salah', 'langkah', 'menutupi', 'isu', 'ayo', 'mending', 'tebaktebakan', 'ketutup']"
Pengalihan issue,pengalihan issue,pengalihan issue,pengalihan issue,"['pengalihan', 'issue']","['pengalihan', 'issue']"
orang indo pinter2 knp kagak di rekrut jir,orang indo pinter2 knp kagak di rekrut jir,orang indo pinter knp kagak di rekrut jir,orang indonesia pintar kenapa kagak di rekrut jir,"['orang', 'indonesia', 'pintar', 'kenapa', 'kagak', 'di', 'rekrut', 'jir']","['orang', 'indonesia', 'pintar', 'kagak', 'rekrut', 'jir']"
"RUMORNYA BJORKA adalah sebuah team yg di bentuk pemerintahan sebelumnya yg merupakan sandi negara.sedangkan BJORKA itu sebuah singkatan yg di dalamnya ada nama JOKOWI.
B,..JO..R ..KA ...(Bapak JOkowi ......................).sekedar infrmasi yg blm bisa di buktikan krn ini dunia maya","rumornya bjorka adalah sebuah team yg di bentuk pemerintahan sebelumnya yg merupakan sandi negara.sedangkan bjorka itu sebuah singkatan yg di dalamnya ada nama jokowi.
b,..jo..r ..ka ...(bapak jokowi ......................).sekedar infrmasi yg blm bisa di buktikan krn ini dunia maya",rumornya bjorka adalah sebuah team yg di bentuk pemerintahan sebelumnya yg merupakan sandi negarasedangkan bjorka itu sebuah singkatan yg di dalamnya ada nama jokowi bjor ka bapak jokowi sekedar infrmasi yg blm bisa di buktikan krn ini dunia maya,rumornya bjorka adalah sebuah team yang di bentuk pemerintahan sebelumnya yang merupakan sandi negarasedangkan bjorka itu sebuah singkatan yang di dalamnya ada nama jokowi bjor kak bapak jokowi sekedar infrmasi yang belum bisa di buktikan karena ini dunia maya,"['rumornya', 'bjorka', 'adalah', 'sebuah', 'team', 'yang', 'di', 'bentuk', 'pemerintahan', 'sebelumnya', 'yang', 'merupakan', 'sandi', 'negarasedangkan', 'bjorka', 'itu', 'sebuah', 'singkatan', 'yang', 'di', 'dalamnya', 'ada', 'nama', 'jokowi', 'bjor', 'kak', 'bapak', 'jokowi', 'sekedar', 'infrmasi', 'yang', 'belum', 'bisa', 'di', 'buktikan', 'karena', 'ini', 'dunia', 'maya']","['rumornya', 'bjorka', 'team', 'bentuk', 'pemerintahan', 'sandi', 'negarasedangkan', 'bjorka', 'singkatan', 'dalamnya', 'nama', 'jokowi', 'bjor', 'kak', 'jokowi', 'sekedar', 'infrmasi', 'buktikan', 'dunia', 'maya']"
Klu ketangkep ya dibina,klu ketangkep ya dibina,klu ketangkep ya dibina,kalau ketangkep ya dibina,"['kalau', 'ketangkep', 'ya', 'dibina']","['ketangkep', 'ya', 'dibina']"
Coba kalo si tersangka waktu  konfrensi pers kemaren pake gaya si pegi.... 🤣,coba kalo si tersangka waktu  konfrensi pers kemaren pake gaya si pegi.... 🤣,coba kalo si tersangka waktu konfrensi pers kemaren pake gaya si pegi,coba kalo sih tersangka waktu konfrensi pers kemarin pakai gaya sih pegi,"['coba', 'kalo', 'sih', 'tersangka', 'waktu', 'konfrensi', 'pers', 'kemarin', 'pakai', 'gaya', 'sih', 'pegi']","['coba', 'kalo', 'sih', 'tersangka', 'konfrensi', 'pers', 'kemarin', 'pakai', 'gaya', 'sih', 'pegi']"
lu ngarep dari polkis? bisanya cuma bikin skck doang 😂,lu ngarep dari polkis? bisanya cuma bikin skck doang 😂,lu ngarep dari polkis bisanya cuma bikin skck doang,lu mengharap dari polkis bisanya cuma bikin skck doang,"['lu', 'mengharap', 'dari', 'polkis', 'bisanya', 'cuma', 'bikin', 'skck', 'doang']","['lu', 'mengharap', 'polkis', 'bisanya', 'bikin', 'skck', 'doang']"
inurl:/ ....... jd ngingetin scaning dan tanam backdoor.. ulalala,inurl:/ ....... jd ngingetin scaning dan tanam backdoor.. ulalala,inurl jd ngingetin scaning dan tanam backdoor ulalala,inurl jadi mengingatkan scaning dan tanam backdoor ulalala,"['inurl', 'jadi', 'mengingatkan', 'scaning', 'dan', 'tanam', 'backdoor', 'ulalala']","['inurl', 'scaning', 'tanam', 'backdoor', 'ulalala']"
Terlalu banyak KKN (rek...man),terlalu banyak kkn (rek...man),terlalu banyak kkn rekman,terlalu banyak kkn rekman,"['terlalu', 'banyak', 'kkn', 'rekman']","['kkn', 'rekman']"
